hour,day,value
原屬國籍_日本_男,106年,10
原屬國籍_日本_女,106年,16
原屬國籍_韓國_男,106年,1
原屬國籍_韓國_女,106年,6
原屬國籍_馬來西亞_男,106年,23
原屬國籍_馬來西亞_女,106年,33
原屬國籍_印尼_男,106年,34
原屬國籍_印尼_女,106年,499
原屬國籍_泰國_男,106年,18
原屬國籍_泰國_女,106年,104
原屬國籍_越南_男,106年,168
原屬國籍_越南_女,106年,3739
原屬國籍_柬埔寨_男,106年,1
原屬國籍_柬埔寨_女,106年,11
原屬國籍_緬甸_男,106年,10
原屬國籍_緬甸_女,106年,30
原屬國籍_菲律賓_男,106年,31
原屬國籍_菲律賓_女,106年,440
原屬國籍_美國_男,106年,14
原屬國籍_美國_女,106年,4
原屬國籍_德國_男,106年,1
原屬國籍_德國_女,106年,1
原屬國籍_義大利_男,106年,8
原屬國籍_義大利_女,106年,3
原屬國籍_奧地利_男,106年,2
原屬國籍_奧地利_女,106年,0
原屬國籍_新加坡_男,106年,4
原屬國籍_新加坡_女,106年,2
原屬國籍_其他國家_男,106年,109
原屬國籍_其他國家_女,106年,33
原屬國籍_無國籍或國籍不詳_男,106年,9
原屬國籍_無國籍或國籍不詳_女,106年,2
原屬國籍_日本_男,105年,16
原屬國籍_日本_女,105年,16
原屬國籍_韓國_男,105年,4
原屬國籍_韓國_女,105年,4
原屬國籍_馬來西亞_男,105年,14
原屬國籍_馬來西亞_女,105年,20
原屬國籍_印尼_男,105年,35
原屬國籍_印尼_女,105年,347
原屬國籍_泰國_男,105年,3
原屬國籍_泰國_女,105年,281
原屬國籍_越南_男,105年,61
原屬國籍_越南_女,105年,2085
原屬國籍_柬埔寨_男,105年,0
原屬國籍_柬埔寨_女,105年,6
原屬國籍_緬甸_男,105年,1
原屬國籍_緬甸_女,105年,19
原屬國籍_菲律賓_男,105年,20
原屬國籍_菲律賓_女,105年,235
原屬國籍_美國_男,105年,5
原屬國籍_美國_女,105年,0
原屬國籍_德國_男,105年,1
原屬國籍_德國_女,105年,1
原屬國籍_義大利_男,105年,0
原屬國籍_義大利_女,105年,0
原屬國籍_奧地利_男,105年,0
原屬國籍_奧地利_女,105年,0
原屬國籍_新加坡_男,105年,0
原屬國籍_新加坡_女,105年,1
原屬國籍_其他國家_男,105年,35
原屬國籍_其他國家_女,105年,14
原屬國籍_無國籍或國籍不詳_男,105年,7
原屬國籍_無國籍或國籍不詳_女,105年,1
原屬國籍_日本_男,104年,14
原屬國籍_日本_女,104年,23
原屬國籍_韓國_男,104年,1
原屬國籍_韓國_女,104年,1
原屬國籍_馬來西亞_男,104年,9
原屬國籍_馬來西亞_女,104年,14
原屬國籍_印尼_男,104年,22
原屬國籍_印尼_女,104年,390
原屬國籍_泰國_男,104年,2
原屬國籍_泰國_女,104年,34
原屬國籍_越南_男,104年,51
原屬國籍_越南_女,104年,2652
原屬國籍_柬埔寨_男,104年,0
原屬國籍_柬埔寨_女,104年,10
原屬國籍_緬甸_男,104年,5
原屬國籍_緬甸_女,104年,46
原屬國籍_菲律賓_男,104年,14
原屬國籍_菲律賓_女,104年,229
原屬國籍_美國_男,104年,0
原屬國籍_美國_女,104年,2
原屬國籍_德國_男,104年,0
原屬國籍_德國_女,104年,0
原屬國籍_義大利_男,104年,0
原屬國籍_義大利_女,104年,0
原屬國籍_奧地利_男,104年,0
原屬國籍_奧地利_女,104年,0
原屬國籍_新加坡_男,104年,0
原屬國籍_新加坡_女,104年,2
原屬國籍_其他國家_男,104年,43
原屬國籍_其他國家_女,104年,10
原屬國籍_無國籍或國籍不詳_男,104年,27
